Student_ID,Age,Gender,Study_Hours,Attendance,Assignments_Score,Midterm_Score,Previous_Score,Sleep_Hours,Internet_Access,Extracurricular_Activities,Final_Score
STU0001,23,Male,15.4,62.0,60.7,65.1,71.7,8.2,Yes,No,60.6
STU0002,20,Female,20.1,90.2,64.2,74.8,81.5,6.5,Yes,No,73.5
STU0003,21,Female,17.9,74.2,58.1,51.3,72.0,4.8,Yes,Yes,65.1
STU0004,23,Female,9.9,77.2,35.1,60.1,85.2,5.8,Yes,Yes,58.5
STU0005,19,Female,11.1,56.5,33.8,56.6,72.8,9.0,Yes,Yes,43.7
STU0006,24,Female,21.2,90.4,29.2,70.3,63.5,6.6,No,Yes,52.9
STU0007,21,Male,13.0,64.6,49.4,64.1,99.1,6.7,Yes,No,62.0
STU0008,21,Male,12.6,79.7,54.7,42.6,78.3,6.6,Yes,No,66.2
STU0009,23,Female,9.3,70.3,45.2,60.2,73.6,9.5,Yes,No,45.2
STU0010,18,Male,17.5,71.7,38.5,41.0,45.9,9.1,Yes,No,50.4
STU0011,19,Male,27.4,86.9,52.3,45.3,45.7,9.3,Yes,No,54.1
STU0012,23,Male,8.6,74.9,33.0,35.5,69.4,6.8,Yes,No,50.8
STU0013,19,Male,15.1,77.5,47.4,64.8,67.2,7.4,Yes,No,57.5
STU0014,19,Female,23.5,90.5,57.8,63.3,55.8,5.0,Yes,Yes,55.9
STU0015,24,Female,14.5,91.8,32.1,60.6,67.1,8.9,Yes,Yes,60.1
STU0016,21,Female,17.7,67.0,60.1,77.5,88.8,5.5,Yes,Yes,67.9
STU0017,20,Male,8.6,82.4,48.4,64.4,75.4,7.3,Yes,No,63.8
STU0018,24,Male,17.6,80.2,37.8,63.9,47.9,5.6,No,No,45.4
STU0019,24,Male,13.9,68.1,48.3,44.4,63.3,6.2,Yes,Yes,47.9
STU0020,19,Male,20.9,72.4,69.8,54.7,52.9,5.9,Yes,No,48.0
STU0021,22,Female,22.1,82.8,50.5,49.8,59.2,6.2,No,Yes,55.7
STU0022,21,Female,30.5,100.0,64.8,68.9,58.8,5.7,Yes,No,68.6
STU0023,18,Female,18.5,79.3,40.3,55.7,57.8,6.3,No,Yes,44.1
STU0024,24,Male,17.0,90.7,41.1,58.4,46.2,8.1,Yes,Yes,52.5
STU0025,20,Female,16.2,66.2,49.1,55.4,63.1,5.6,Yes,No,48.6
STU0026,22,Female,12.9,74.1,40.3,56.4,56.6,7.3,Yes,Yes,45.5
STU0027,22,Female,17.0,68.7,21.6,42.2,21.1,8.6,Yes,Yes,33.8
STU0028,18,Female,13.2,77.5,56.5,85.8,95.8,6.3,Yes,Yes,63.5
STU0029,24,Male,16.0,84.7,64.2,65.6,81.3,6.1,Yes,No,62.0
STU0030,20,Male,22.9,81.8,56.0,54.9,59.4,6.7,Yes,No,54.2
STU0031,21,Male,9.0,49.0,45.0,49.0,65.3,8.5,Yes,Yes,38.7
STU0032,17,Female,21.8,85.6,44.4,50.8,47.4,7.3,No,No,58.8
STU0033,20,Male,22.9,88.7,70.8,87.6,90.4,6.3,No,No,75.7
STU0034,18,Male,14.3,,57.5,68.7,93.5,7.6,Yes,Yes,63.7
STU0035,22,Male,2.3,72.4,22.2,45.9,67.4,5.6,Yes,Yes,45.1
STU0036,21,Male,11.4,63.9,48.9,55.9,80.4,7.9,Yes,Yes,58.7
STU0037,20,Female,22.8,90.5,47.6,72.3,67.6,7.5,Yes,Yes,71.7
STU0038,17,Female,14.9,85.9,31.5,49.9,44.9,6.6,No,No,38.7
STU0039,17,Male,9.0,55.7,36.3,41.5,58.8,5.9,Yes,Yes,48.3
STU0040,19,Male,12.0,75.7,44.1,68.2,67.0,5.8,Yes,No,51.8
STU0041,19,Male,20.0,78.0,38.8,52.2,58.2,7.7,Yes,No,46.5
STU0042,23,Male,18.3,79.5,56.0,59.3,61.7,8.6,Yes,Yes,62.3
STU0043,18,Male,13.6,77.7,47.0,61.1,63.6,,Yes,No,60.7
STU0044,24,Male,12.8,70.2,35.9,42.8,63.8,,No,Yes,58.0
STU0045,20,Male,12.6,68.5,29.8,58.0,65.8,4.3,Yes,No,39.8
STU0046,20,Female,9.5,70.7,30.3,38.3,49.1,6.2,Yes,No,44.6
STU0047,24,Female,24.7,78.5,49.0,65.2,54.2,7.0,Yes,No,55.7
STU0048,23,Male,13.1,65.7,35.5,38.4,45.7,5.8,No,No,39.7
STU0049,22,Male,22.3,90.0,56.8,77.1,79.7,5.8,No,Yes,55.9
STU0050,22,Female,24.1,77.4,27.5,57.2,33.4,6.1,Yes,No,39.8
STU0051,23,Male,21.0,88.4,56.1,78.3,82.3,7.4,Yes,No,65.2
STU0052,22,Female,12.4,77.4,47.4,67.5,85.8,6.8,Yes,No,61.0
STU0053,19,Female,17.4,65.4,51.0,52.8,60.5,4.1,Yes,No,45.0
STU0054,20,Male,14.9,70.9,23.4,34.7,26.0,4.2,No,No,31.1
STU0055,23,Male,9.6,80.1,49.2,63.1,59.6,6.2,Yes,Yes,60.5
STU0056,20,Female,16.9,70.8,31.5,52.2,64.0,7.6,Yes,Yes,55.3
STU0057,24,Male,7.9,65.0,40.3,36.4,49.8,3.4,Yes,No,45.3
STU0058,17,Female,22.1,,48.8,66.3,57.3,6.4,Yes,Yes,62.5
STU0059,19,Female,12.2,79.7,57.3,61.6,88.0,6.3,Yes,No,55.5
STU0060,21,Female,16.2,75.8,50.9,56.2,75.0,8.8,Yes,No,63.5
STU0061,19,Male,16.7,73.6,50.4,41.7,51.1,6.5,Yes,Yes,47.5
STU0062,23,Female,13.4,86.2,30.1,45.0,41.0,7.5,Yes,Yes,52.9
STU0063,21,Male,18.5,94.3,38.4,61.6,60.1,7.2,Yes,No,65.9
STU0064,17,Female,12.2,81.2,51.3,57.4,61.8,4.2,Yes,Yes,55.3
STU0065,23,Female,20.2,82.9,53.4,72.6,72.4,8.0,Yes,No,56.1
STU0066,18,Male,6.9,61.2,33.2,48.9,57.0,7.3,Yes,Yes,41.4
STU0067,20,Female,15.8,70.7,58.6,58.9,72.7,7.7,Yes,No,65.5
STU0068,17,Female,26.6,93.5,62.6,80.9,94.0,10.0,Yes,Yes,72.8
STU0069,20,Male,9.0,73.2,46.9,62.3,77.2,4.3,Yes,No,52.8
STU0070,22,Male,10.9,83.2,34.7,65.5,64.3,9.2,Yes,No,56.4
STU0071,18,Male,18.1,85.1,46.4,61.5,62.3,6.6,Yes,No,60.7
STU0072,18,Male,16.1,65.7,44.5,50.0,59.6,7.4,No,Yes,48.7
STU0073,17,Male,17.1,87.2,42.5,62.8,82.7,6.9,Yes,No,60.4
STU0074,18,Female,17.9,71.7,38.4,44.0,55.6,6.4,Yes,No,46.3
STU0075,21,Male,18.8,77.6,60.6,65.4,65.7,6.3,Yes,Yes,65.5
STU0076,18,Male,21.7,85.8,60.5,68.6,65.8,7.4,Yes,Yes,68.7
STU0077,20,Female,17.5,95.2,44.3,64.6,57.5,5.0,Yes,Yes,56.2
STU0078,20,Male,13.6,99.8,36.7,52.5,44.4,8.0,Yes,No,57.8
STU0079,23,Female,19.0,,49.4,74.6,69.8,6.5,Yes,No,61.5
STU0080,20,Male,26.4,87.6,69.5,63.8,64.1,4.9,Yes,No,58.5
STU0081,23,Male,14.2,79.9,45.2,68.2,72.5,6.4,Yes,Yes,55.8
STU0082,20,Female,9.2,77.2,36.1,50.4,57.0,8.6,Yes,Yes,44.3
STU0083,21,Female,21.6,81.2,69.5,67.1,83.3,6.3,Yes,No,65.5
STU0084,24,Female,14.3,90.1,32.4,58.9,51.8,,Yes,No,59.3
STU0085,23,Female,2.0,64.0,51.2,60.9,90.7,6.0,Yes,No,50.6
STU0086,19,Female,20.1,86.1,28.4,54.0,38.8,8.0,Yes,Yes,51.2
STU0087,22,Male,11.8,78.3,56.4,59.7,71.5,7.9,Yes,No,55.3
STU0088,17,Male,14.5,79.3,43.9,61.0,72.1,9.4,Yes,Yes,55.2
STU0089,20,Female,17.0,85.4,40.5,72.6,53.1,6.8,Yes,Yes,50.4
STU0090,18,Female,16.1,72.8,33.6,68.7,71.4,7.9,Yes,No,54.7
STU0091,24,Female,19.3,76.7,54.1,74.2,84.2,7.1,Yes,No,64.1
STU0092,20,Male,12.4,64.8,19.9,39.0,31.7,8.7,Yes,No,38.1
STU0093,18,Male,18.1,83.4,46.8,71.8,72.5,6.1,Yes,Yes,62.9
STU0094,22,Female,13.4,81.0,26.7,44.7,27.6,8.0,Yes,Yes,37.2
STU0095,22,Male,19.4,85.0,52.2,56.3,50.5,6.7,Yes,No,61.0
STU0096,22,Female,18.7,94.0,60.8,73.3,89.4,6.9,Yes,No,71.3
STU0097,18,Female,9.4,70.3,36.7,48.2,56.3,7.1,No,Yes,44.6
STU0098,20,Male,21.5,89.0,37.1,34.8,47.4,7.3,Yes,Yes,51.2
STU0099,22,Female,11.8,64.2,32.5,52.8,62.0,6.8,No,Yes,41.2
STU0100,21,Female,19.8,78.7,77.6,71.9,96.0,7.3,Yes,No,73.6
STU0101,23,Male,17.2,84.5,30.6,59.9,37.5,9.1,Yes,Yes,51.4
STU0102,18,Female,26.0,95.4,65.5,62.4,49.2,7.7,Yes,Yes,56.5
STU0103,18,Male,13.7,72.7,,57.7,87.5,8.1,No,Yes,52.9
STU0104,20,Female,12.9,73.6,53.3,67.9,92.9,6.4,Yes,Yes,62.4
STU0105,18,Male,14.9,64.2,52.5,46.6,63.4,5.8,Yes,Yes,52.4
STU0106,18,Female,13.2,71.6,45.2,50.3,46.4,8.2,Yes,No,53.9
STU0107,22,Male,19.8,88.9,62.4,80.0,96.4,8.1,Yes,Yes,70.2
STU0108,20,Male,5.3,70.4,39.1,67.6,88.9,8.9,No,No,47.9
STU0109,22,Female,8.7,73.6,40.5,52.1,75.2,6.2,Yes,Yes,50.4
STU0110,23,Male,8.6,69.9,34.6,46.8,52.8,6.7,Yes,No,40.8
STU0111,24,Male,20.7,82.8,58.7,53.0,64.3,4.9,Yes,No,54.3
STU0112,23,Female,25.3,82.5,56.7,69.5,62.6,5.9,No,No,60.0
STU0113,24,Female,14.4,81.4,50.9,64.4,70.0,8.3,No,No,48.5
STU0114,22,Female,14.0,,65.3,70.9,86.8,6.4,Yes,Yes,68.8
STU0115,23,Female,15.4,80.9,53.6,65.1,78.2,7.8,Yes,Yes,54.9
STU0116,20,Male,22.0,80.0,49.5,58.6,48.8,6.8,No,No,46.9
STU0117,17,Male,9.4,53.2,33.9,69.0,85.6,7.4,Yes,No,51.9
STU0118,22,Male,16.4,86.9,27.4,61.3,69.7,5.5,Yes,No,61.5
STU0119,24,Female,20.9,79.1,59.3,67.7,75.3,7.1,No,No,57.5
STU0120,21,Female,18.0,72.9,56.5,61.0,87.0,3.1,Yes,No,45.4
STU0121,24,Female,16.1,83.3,35.4,46.6,48.3,6.8,Yes,No,38.6
STU0122,21,Female,21.0,80.0,54.0,62.8,64.5,4.9,Yes,Yes,58.2
